Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
1/1/2019 0:00,22443,"Colonial Beach, VA",,207450,0.0117,-0.0331,100.5,-0.141,0.0924,100.5,0.0203,-0.078,30,1.5,0.6667,0,,,8,0,-0.3333,0,,,235825,-0.0827,-0.0984,100.5,-0.141,0.0924,0,0,0
1/1/2019 0:00,22454,"Dunnsville, VA",,179050,0.0114,-0.0664,22.5,-0.1,-0.0625,163.5,0.1122,0.0955,0,,-1,0,,,4,,-0.3333,1,,-0.5,222443,-0.0413,-0.1512,23.5,-0.06,-0.0962,0.0444,0.0444,-0.0389
1/1/2019 0:00,22460,"Farnham, VA",*,368550,1.0217,,16.5,0.1786,,58,-0.6027,,6,0.5,,0,,,0,,,0,,-1,461239,0.4472,0.5301,16.5,0.1786,0.65,0,0,-0.1111
1/1/2019 0:00,22469,"Hague, VA",,304950,0.0167,-0.1432,24,-0.1724,-0.0769,161,-0.0529,0.0662,2,,0,0,,,0,,-1,0,-1,,543312,0.0528,0.4198,24,-0.2,-0.0769,0,-0.0345,0
1/1/2019 0:00,22473,"Heathsville, VA",*,339050,0,-0.1352,160,-0.0805,,178.5,-0.0028,-0.153,28,2.5,1.8,0,,,10,0.25,0.25,2.5,0.25,1.5,395860,-0.0034,-0.0811,162.5,-0.0767,-0.024,0.0156,0.0041,0.0096
1/1/2019 0:00,22480,"Irvington, VA",*,425050,0,,51.5,-0.0096,,179.75,0.1597,-0.3287,2,-0.5,-0.75,0,,,4,,,1.5,0.5,,692707,-0.0105,-0.0495,53,0,0.1158,0.0291,0.0099,0.0291
1/1/2019 0:00,22482,"Kilmarnock, VA",*,255050,-0.1326,-0.2154,65.5,-0.1709,0.065,183.5,0.3297,,0,-1,-1,0,,,8,0,1,0,,,457240,-0.0265,-0.2269,65.5,-0.1709,0.065,0,0,0
1/1/2019 0:00,22485,"King George, VA",,336275,0.0192,-0.0125,131.5,-0.054,0.1144,75.75,-0.0531,-0.1392,44,2.6667,0.375,0,,-1,16,-0.2,-0.1111,1,0,0,353866,0.0112,-0.2736,132.5,-0.0536,0.1134,0.0076,0.0004,-0.0009
1/1/2019 0:00,22503,"Lancaster, VA",,449050,0,0.0735,130.5,-0.0333,0.1154,204,0.057,0.0751,18,1.25,0.5,0,,,6,-0.25,-0.4,0.5,-0.5,-0.6667,474592,-0.0143,-0.1158,131,-0.0368,0.1055,0.0038,-0.0036,-0.009
1/1/2019 0:00,22508,"Locust Grove, VA",,287500,-0.0084,0.0491,115.5,-0.163,-0.0335,87,0.1013,0.0326,30,-0.1667,0.3636,0,,,12,0.5,-0.1429,0,,-1,342373,0.048,0.0509,115.5,-0.163,-0.0571,0,0,-0.0251
1/1/2019 0:00,22511,"Lottsburg, VA",*,349050,0,0.0228,18,0.0588,-0.1429,241.5,0.0757,,2,,,0,,,0,,,0,,,409061,-0.0209,0.1959,18,0.0588,-0.1429,0,0,0
1/1/2019 0:00,22520,"Montross, VA",*,262550,0.0194,,53.5,-0.1641,,134,0.0308,,8,1,1,0,,,4,0,-0.6,0,,,393482,0.1133,-0.0237,53.5,-0.1641,-0.4247,0,0,0
1/1/2019 0:00,22539,"Reedville, VA",*,398050,0.0076,,98,-0.125,,174,0.1083,,8,,-0.3333,0,,,4,0,1,0,-1,,421603,0.0194,0.009,98,-0.1327,0.4627,0,-0.0089,0
1/1/2019 0:00,22546,"Ruther Glen, VA",,237500,0.0324,0.0328,122,0.0609,0.1041,74,-0.0199,0.0137,40,0,0.3333,2,,-0.5,20,4,1,11.5,-0.2813,-0.425,258138,0.0166,0.0275,133.5,0.0191,0.023,0.0943,-0.0449,-0.0867
1/1/2019 0:00,22551,"Spotsylvania, VA",,327275,0.0229,-0.0282,102.5,-0.1314,-0.0509,90.5,0.0904,0.1277,22,-0.2143,-0.5217,0,,-1,10,-0.5,-0.2857,0.5,-0.75,-0.6667,400732,0.0319,-0.0199,103,-0.1417,-0.0594,0.0049,-0.0121,-0.009
